Rank,Global Rank,Institution,Country,Sector,Best Country Quartile
301,4786,Cleveland State University,USA,Universities,3
302,4792,"California State University, Los Angeles",USA,Universities,3
303,4846,University of San Francisco,USA,Universities,2
303,4846,Western New England University,USA,Universities,2
305,4913,Manhattan College,USA,Universities,2
306,4938,"Texas A&M University, Corpus Christi",USA,Universities,2
307,4941,Hackensack Meridian School of Medicine,USA,Universities,2
308,4959,"Oklahoma State University, Tulsa",USA,Universities,2
309,4984,Fayetteville State University,USA,Universities,2
309,4984,Miami University of Ohio,USA,Universities,2
311,4998,Tennessee State University,USA,Universities,3
312,5001,"University of Colorado, Colorado Springs",USA,Universities,2
313,5044,Georgia Southern University,USA,Universities,3
314,5066,University of Memphis,USA,Universities,3
315,5070,Central Michigan University,USA,Universities,3
316,5077,Texas A&M University-Commerce,USA,Universities,2
316,5077,Wellesley College,USA,Universities,3
318,5089,Northeast Ohio Medical University,USA,Universities,3
319,5101,Chicago State University,USA,Universities,3
320,5113,"Oklahoma State University, Center for Health Sciences",USA,Universities,2
321,5129,Louisiana Tech University,USA,Universities,3
322,5154,Williams College,USA,Universities,3
323,5197,MCPHS University,USA,Universities,3
324,5202,Texas Southern University,USA,Universities,2
324,5202,Creighton University,USA,Universities,3
326,5215,Lake Erie College,USA,Universities,3
327,5221,Sonoma State University,USA,Universities,3
328,5232,Midwestern University,USA,Universities,3
329,5244,"University of Nebraska, Omaha",USA,Universities,3
330,5279,University of Central Arkansas,USA,Universities,2
331,5298,"California State University, Long Beach",USA,Universities,2
332,5307,Tuskegee University,USA,Universities,2
333,5316,"California State University, Fullerton",USA,Universities,2
334,5320,"University of Alaska, Anchorage",USA,Universities,2
335,5359,Morehouse School of Medicine,USA,Universities,3
336,5369,South Dakota School of Mines and Technology,USA,Universities,2
336,5369,Florida Polytechnic University,USA,Universities,2
338,5392,Meharry Medical College,USA,Universities,3
339,5435,Western University of Health Sciences,USA,Universities,3
339,5435,Delaware State University,USA,Universities,3
341,5451,"Texas State University, San Marcos",USA,Universities,3
